Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
131,Flavored,Rye,Creative,Cask & Crew,Walnut Toffee,1,,,,,6/24/2018,,,,,,,,,,,,,,,,,,,,,,
132,Flavored,Rye,Creative,Cask & Crew,Ginger Spice,1.5,,,,,6/24/2018,,,,,,,,,,,,,,,,,,,,,,
133,Rye,Pennsylvania,Port,Eight Oaks,Port Rye,3.5,,,,,7/8/2018,,,,,,,,,,,,,,,,,,,,,,
134,Bourbon,,Wheat,W.L. Weller,Special Reserve,3.5,,,,,7/9/2018,,,,,,,,,,,,,,,,,,,,,,
135,Bourbon,Finished,Port,Angel's Envy,,4.5,,,,4,7/13/2018,,,,,,,,,,,,,,,,,,,,,,
136,Bourbon,,,Wild Turkey,Rare Breed,4.5,,,,,7/13/2018,,,,,,,,,,,,,,,,,,,,,,
137,Irish,Blended,Creative,Jameson,Caskmates Stout,2.5,,,,,7/14/2018,,,,,,,,,,,,,,,,,,,,,,
138,Scotch,Islay,Smoke,Laphroaig,12 CS,4,Signatory Vintage,1999,,12,7/21/2018,,,,,,,,,,,,,,,,,,,,,,
139,Scotch,Highland,,Glenmorangie,Signet,4,,,,,7/21/2018,,,,,,,,,,,,,,,,,,,,,,
140,World,English,Smoke,English Whisky Co.,Chapter 9,3.5,,,,,7/21/2018,,,,,,,,,,,,,,,,,,,,,,
141,Scotch,Islay,Sherry,Bunnahabhain,12,4,,,,12,7/25/2018,,,,,,,,,,,,,,,,,,,,,,
142,Bourbon,,,1792,Small Batch,3.5,,,,,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
143,Bourbon,New York,,Widow Jane,10,4.5,,,,10,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
144,Bourbon,,,Colonel E.H. Taylor,Small Batch,4,,,,,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
145,Bourbon,,,Baker's,7,4,,,,7,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
146,Rye,Alberta,,WhistlePig,10,4.5,,,,10,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
147,Rye,Utah,,High West,Double Rye,3,,,,2,8/5/2018,,,,,,,,,,,,,,,,,,,,,,
